Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],5890,0,48,65.79201959253973,3.462799999397248,1289.5149999967543,120926.8947368421,78.057549298957,0.0,48,58,70,79,130,180,240,280,1200,1300,1300
GET,GET /traces,6058,0,38,42.92332197096235,2.367100001720246,1096.075400004338,6993.038791680423,80.28397854891027,0.0,38,44,48,53,70,92,130,150,260,1100,1100
POST,POST /ingest (auth),15052,0,75,79.98580161442952,9.103500000492204,1178.117100003874,70.0,199.47745875176582,0.0,75,81,86,90,100,130,160,180,1100,1100,1200
POST,POST /ingest (no key),2960,0,71,71.12215513521191,6.4218000043183565,270.4336999959196,28.0,39.227562975367185,0.0,71,76,79,82,91,100,120,140,180,270,270
POST,POST /ingest (seed),50,0,54,53.53936000086833,16.018400005123112,82.42649999738205,70.0,0.6626277529622835,0.0,55,62,69,72,73,77,82,82,82,82,82
,Aggregated,30010,0,67,68.8000437521097,2.367100001720246,1289.5149999967543,25183.71406197934,397.70917732796255,0.0,67,75,80,84,100,130,170,210,1100,1200,1300
