Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],6126,0,53,77.45393194577771,3.3794999981182627,1104.1523000021698,121479.129611492,81.12703329386413,0.0,53,72,92,110,170,220,270,320,450,1100,1100
GET,GET /traces,6035,0,39,47.3627363546121,2.8491000048234127,1105.553499997768,6973.1784589892295,79.92191412479106,0.0,39,48,56,62,82,110,160,170,350,1100,1100
POST,POST /ingest (auth),14980,0,73,78.87842174231257,7.43499999953201,1110.1445000022068,70.0,198.38115552433638,0.0,73,80,86,90,110,140,170,190,350,1100,1100
POST,POST /ingest (no key),3065,0,67,66.92861213694586,5.495400000654627,222.8733000010834,28.0,40.59000278251609,0.0,67,73,77,80,89,100,120,140,200,220,220
POST,POST /ingest (seed),50,0,62,60.77758600018569,14.803800004301593,111.15470000368077,70.0,0.6621533896005887,0.0,63,70,73,78,82,110,110,110,110,110,110
,Aggregated,30256,0,67,71.06328444604432,2.8491000048234127,1110.1445000022068,26024.66287678477,400.68225911510825,0.0,67,75,82,87,110,150,190,240,380,1100,1100
