Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],5192,0,67,76.69094560865562,3.535399999236688,1036.8301999988034,89594.13463020031,68.98644500742095,0.0,67,86,98,110,140,170,230,260,740,1000,1000
GET,GET /traces,5120,0,49,55.14493162107499,3.2697999995434657,984.8194000005606,8204.5248046875,68.02977627850449,0.0,49,62,73,80,98,110,140,160,250,980,980
POST,POST /ingest (auth),12913,0,83,89.73907505613982,3.9077000037650578,1040.7219999979134,70.0,171.5758791180329,0.0,83,100,110,120,130,140,160,170,1000,1000,1000
POST,POST /ingest (no key),2614,0,74,80.63269934967242,2.026599999226164,1000.813399994513,28.0,34.732389685939594,0.0,74,91,100,110,120,130,140,150,170,1000,1000
POST,POST /ingest (seed),50,0,89,104.02497199902427,27.558899993891828,203.98569999815663,70.0,0.6643532839697703,0.0,90,140,140,190,200,200,200,200,200,200,200
,Aggregated,25889,0,73,79.38882306771073,2.026599999226164,1040.7219999979134,19628.43354320368,343.9888433738677,0.0,73,90,100,110,130,140,170,190,530,1000,1000
