phase,repetition,requests,failures,requests_per_second,http_p95_ms,event_p50_ms,event_p95_ms,event_p99_ms,event_errors,backend_cpu_mean_percent,backend_cpu_max_percent,backend_peak_memory_mb,redis_cpu_mean_percent,redis_peak_memory_mb
pre,1,22366,0,303.67945206672334,280.0,61.99999999807915,219.74999999729351,297.1499999986553,0,140.17076923076922,203.7,218.7329536,16.673846153846153,20.038287359999998
pre,2,12412,0,165.00867103355142,540.0,78.00000000133878,656.800000002477,1563.619999994698,0,106.30045454545456,201.13,203.8431744,17.166363636363638,12.93942784
pre,3,25144,0,333.8737931518528,280.0,93.99999999732245,250.74999999997107,327.9999999941356,0,164.29319999999998,204.52,221.0398208,17.932000000000002,22.1249536
post,1,25889,0,343.9888433738677,140.0,46.999999998661224,125.0,203.16000000129847,0,133.82291666666669,202.81,212.7560704,20.042916666666667,29.26575616
post,2,30256,0,400.68225911510825,150.0,47.00000000593718,156.8000000024769,219.30999999734894,0,158.42208333333332,208.91,220.8301056,18.919166666666662,34.477178880000004
post,3,30010,0,397.70917732796255,130.0,46.999999998661224,125.0,171.99999999866122,0,154.55625,201.06,219.9912448,20.55666666666666,35.82984192
