Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],5658,0,76,144.80111834570442,2.9902000001129636,1214.9780999998256,116174.07794273595,75.09101500618088,0.0,76,190,250,270,350,390,460,500,1000,1200,1200
GET,GET /traces,5801,0,36,57.787531942767075,2.159699999992881,838.2617000002028,6484.561110153421,76.98886144412431,0.0,36,61,78,90,140,160,190,220,770,840,840
POST,POST /ingest (auth),14094,0,68,82.06345650631442,3.6474000000907836,917.0414999998684,70.0,187.05068319143044,0.0,68,77,87,98,150,170,200,240,770,920,920
POST,POST /ingest (no key),2829,0,60,60.002651184160754,4.535299999815834,763.1685000001198,28.0,37.54550750309044,0.0,60,65,69,71,81,95,130,140,200,760,760
POST,POST /ingest (seed),50,0,64,60.15637000001334,14.144399999850066,125.73390000011386,70.0,0.6635826706095872,0.0,65,72,86,90,120,120,130,130,130,130,130
,Aggregated,28432,0,65,87.36170072805191,2.159699999992881,1214.9780999998256,24479.43036015757,377.3396498154357,0.0,65,76,92,120,170,260,350,400,800,1000,1200
