Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],5191,0,110,180.6080575611619,3.085400000145455,1276.3744999999744,104323.94471200154,68.90095656352766,0.0,110,250,300,350,450,510,610,680,1100,1300,1300
GET,GET /traces,5067,0,39,69.72755622656413,1.8454000000929227,941.6338999999425,6049.959739490823,67.25508512953084,0.0,39,72,97,120,170,200,260,280,560,940,940
POST,POST /ingest (auth),12934,0,69,90.95510430647926,4.1935000001558365,934.5247000001109,70.0,171.67500909124766,0.0,69,81,100,130,170,200,260,280,750,910,930
POST,POST /ingest (no key),2561,0,60,61.435423272157074,3.372399999989284,818.0007000000842,28.0,33.99255437472439,0.0,60,65,69,72,82,100,140,160,720,820,820
POST,POST /ingest (seed),50,0,56,52.07061000000067,13.149100000191538,101.54669999997168,70.0,0.6636578362890354,0.0,57,63,66,75,95,96,100,100,100,100,100
,Aggregated,25803,0,66,101.81757635933742,1.8454000000929227,1276.3744999999744,22213.747665000195,342.4872629953196,0.0,66,83,120,150,230,320,450,530,860,1200,1300
