Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],4688,0,100,156.39144364334348,3.4742000000278495,1090.376200000037,76493.31058020478,63.24702097430212,0.0,100,160,190,240,340,440,580,640,810,1100,1100
GET,GET /traces,4574,0,62,71.23374411893475,2.5847000001704146,868.3419999999842,7558.141233056405,61.70901747791337,0.0,62,75,84,91,130,170,220,270,400,870,870
POST,POST /ingest (auth),11422,0,91,97.58741604797741,4.003700000112076,566.706700000168,70.0,154.09715733116016,0.0,91,110,110,120,150,180,250,280,430,510,570
POST,POST /ingest (no key),2361,0,75,73.98278432867195,3.8872000000083062,274.3090999999822,28.0,31.852861885735347,0.0,75,88,96,100,110,120,150,170,230,270,270
POST,POST /ingest (seed),50,0,74,79.06502599997566,20.535900000140828,153.3452999999554,70.0,0.6745629370126079,0.0,77,86,97,98,150,150,150,150,150,150,150
,Aggregated,23095,0,86,101.85132299632,2.5847000001704146,1090.376200000037,17061.73310240312,311.5806206061236,0.0,86,100,110,130,170,250,360,450,720,870,1100
