product,process_repetitions,mean_process_cpu_seconds,mean_peak_rss_mb,mean_host_network_mb,mean_visibility_ms,mean_query_p95_ms,verified_traces
AgentScope,3,27.145833333333332,97.30321066666666,0.1518813333333333,280.50019999985426,57.732484999966516,210
Langfuse,3,18.359375,124.11153066666667,0.156542,648.0020000000574,176.42937999992228,210
Phoenix,3,18.786458333333332,109.41917866666667,0.2930473333333334,739.1174000000925,49.3590500000361,210
