Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],1031,0,17,35.46192298726453,3.504100001009647,385.54600000497885,114725.80504364695,21.776578017005445,0.0,17,21,29,38,110,130,180,220,350,390,390
GET,GET /traces,1049,0,7,20.971173117254065,2.718999996432103,2908.107800001744,3336.8236415633937,22.15677045571165,0.0,7,9,11,13,52,69,97,110,2900,2900,2900
POST,POST /ingest (auth),2664,0,51,57.6019665165975,6.205199999385513,325.84740000311285,70.0,56.26848092851843,0.0,51,53,55,57,84,100,130,150,270,330,330
POST,POST /ingest (no key),566,0,49,54.58342508827241,4.545799994957633,284.58230000251206,28.0,11.954940017095133,0.0,49,51,52,53,80,95,120,120,280,280,280
POST,POST /ingest (seed),10,0,27,28.69779000102426,18.2009000054677,43.61839999910444,70.0,0.21121802150344757,0.0,31,32,34,36,44,44,44,44,44,44,44
,Aggregated,5320,0,48,45.71293956767996,2.718999996432103,2908.107800001744,22929.63552631579,112.36798743983411,0.0,48,51,53,54,81,100,130,160,320,2900,2900
