Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],1198,0,21,23.685406260580606,5.352699998184107,120.75039999035653,69972.06343906511,27.715788007635886,0.0,21,27,30,31,39,50,62,68,110,120,120
GET,GET /traces,1151,0,10,11.250377323977196,6.143100006738678,46.86619999120012,29697.905299739356,26.62844073187722,0.0,10,11,12,13,15,19,22,29,46,47,47
POST,POST /ingest (auth),3000,0,50,50.760315266714315,5.391700004111044,120.06139999721199,70.0,69.4051452611917,0.0,50,51,52,53,56,63,72,76,100,120,120
POST,POST /ingest (no key),640,0,47,47.38832546900085,2.915200006100349,72.06190000579227,28.0,14.806430989054231,0.0,47,49,49,50,51,53,57,60,72,72,72
POST,POST /ingest (seed),10,0,72,80.03318999981275,45.262400002684444,129.7880000056466,70.0,0.23135048420397236,0.0,83,83,96,99,130,130,130,130,130,130,130
,Aggregated,5999,0,47,37.46192815475495,2.915200006100349,129.7880000056466,19709.525087514587,138.78715547396303,0.0,47,49,50,51,53,58,68,73,100,130,130
