Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],3243,0,150,166.94149229101225,9.38519999908749,831.4825999987079,38011.95251310515,55.258576270194915,0.0,150,190,220,240,290,350,440,530,680,830,830
GET,GET /traces,3238,0,65,76.5750802964989,7.201400003395975,451.64800000202376,1068.2723903644226,55.17337957535959,0.0,65,85,99,110,140,160,210,260,380,450,450
POST,POST /ingest (auth),8144,0,150,168.7847775907639,13.87080000131391,835.5341999995289,70.0,138.7683765477852,0.0,150,190,210,240,290,340,430,530,700,840,840
POST,POST /ingest (no key),1657,0,37,43.09706753162683,6.139999997685663,283.279199997196,28.0,28.2341846684283,0.0,37,54,59,62,72,86,110,120,280,280,280
POST,POST /ingest (seed),50,0,200,196.799743999145,55.33199998899363,448.04699999804143,70.0,0.8519669483532981,0.0,200,220,240,310,410,430,450,450,450,450,450
,Aggregated,16332,0,120,137.47100332469125,6.139999997685663,835.5341999995289,7797.68577026696,278.2864840101213,0.0,120,160,190,210,270,310,390,490,670,830,840
