Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],2505,0,120,150.18418670664826,7.894099995610304,819.7720000025583,28542.669860279442,42.863490247348075,0.0,120,160,190,220,300,360,430,480,670,820,820
GET,GET /traces,2573,0,110,117.56723198613467,14.130199997453019,646.6140999982599,41602.90866692577,44.02705006244575,0.0,110,140,150,160,190,230,270,300,620,650,650
POST,POST /ingest (auth),6277,0,120,149.60998585303287,16.506600004504435,801.1282999941614,70.0,107.40683763776602,0.0,120,150,180,200,270,340,410,440,630,800,800
POST,POST /ingest (no key),1272,0,95,97.94510683943669,10.20970000536181,422.1511000068858,28.0,21.765413011827047,0.0,96,110,120,130,150,170,190,220,320,420,420
POST,POST /ingest (seed),50,0,100,135.7163000004948,49.29130000527948,284.8319999902742,70.0,0.855558687571818,0.0,100,140,180,230,270,270,280,280,280,280,280
,Aggregated,12677,0,120,137.9810481738389,7.894099995610304,819.7720000025583,14121.809418632169,216.91834964695872,0.0,120,140,170,180,250,320,390,440,630,800,820
