Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],1125,0,130,140.15652471101689,8.630600001197308,617.591000001994,34389.26577777778,25.78287474688702,0.0,130,160,180,190,230,280,350,470,600,620,620
GET,GET /traces,1091,0,59,66.9804158565103,8.084099987172522,398.04270000604447,12160.923006416131,25.003658976758878,0.0,59,71,81,87,110,130,190,310,400,400,400
POST,POST /ingest (auth),2937,0,120,132.525496935674,9.816699996008538,612.5247000018135,70.0,67.31049167253971,0.0,120,150,160,180,210,260,330,420,560,610,610
POST,POST /ingest (no key),563,0,30,36.950877264522916,7.257599994773045,188.03239999397192,28.0,12.90289642888657,0.0,30,41,52,56,67,74,85,94,190,190,190
POST,POST /ingest (seed),20,0,60,64.61796000148752,37.48800000175834,96.38479999557603,70.0,0.4583622177224359,0.0,63,72,91,92,95,96,96,96,96,96,96
,Aggregated,5736,0,99,111.93772866097933,7.257599994773045,617.591000001994,9096.62569735007,131.45828404279462,0.0,99,130,150,160,200,240,310,390,560,620,620
