Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],259,0,2600,2530.1722648643336,176.92080000415444,8218.819400004577,3750.065637065637,4.675628487022982,0.0,2600,2900,3100,3200,3600,3900,4200,4700,8200,8200,8200
GET,GET /traces,259,0,2500,2479.985235907312,233.92129999410827,4945.170599996345,1044.061776061776,4.675628487022982,0.0,2500,3000,3200,3300,3800,4000,4600,4700,4900,4900,4900
POST,POST /ingest (auth),717,2,1600,1593.1142461647305,46.33250000188127,6277.904600006877,70.24267782426779,12.943728282608022,0.03610523928203074,1600,1800,2000,2100,2300,2500,2600,4000,6300,6300,6300
POST,POST /ingest (no key),151,151,580,606.4477748349725,30.01219998986926,1844.024800011539,28.0,2.7259455657933214,2.7259455657933214,580,680,760,810,970,1200,1300,1800,1800,1800,1800
POST,POST /ingest (seed),50,0,370,676.3508380009443,74.62929999746848,4065.3278000099817,70.0,0.9026309820507686,0.0,400,670,880,900,1400,3200,4100,4100,4100,4100,4100
,Aggregated,1436,153,1700,1786.4100717967249,30.01219998986926,8218.819400004577,905.1330083565459,25.923561804498075,2.762050805075352,1700,2100,2400,2500,3100,3600,4000,4400,6300,8200,8200
