Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /ingest (auth),5007,0,140,151.36522860009293,13.467599987052381,639.5621999981813,70.0,178.00158509701637,0.0,140,160,170,170,210,240,300,360,540,640,640
,Aggregated,5007,0,140,151.36522860009293,13.467599987052381,639.5621999981813,70.0,178.00158509701637,0.0,140,160,170,170,210,240,300,360,540,640,640
