Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],1665,0,240,316.49735261266284,3.894099994795397,2169.973199997912,22547.98138138138,27.119438261600926,0.0,240,340,410,460,700,990,1200,1500,2100,2200,2200
GET,GET /traces,1561,0,110,163.12986066610074,3.315199995995499,2080.0317999965046,4362.100576553491,25.42549136718261,0.0,110,170,200,250,370,470,630,860,2100,2100,2100
POST,POST /ingest (auth),4060,0,190,262.7153157144716,13.380700009292923,2151.780100000906,70.0,66.1290806859458,0.0,190,270,350,390,550,730,1100,1200,2100,2200,2200
POST,POST /ingest (no key),799,0,85,140.9452170212743,6.467100000008941,2095.5745999963256,28.0,13.01407277538687,0.0,85,120,170,200,330,440,560,620,2100,2100,2100
POST,POST /ingest (seed),50,0,110,110.45404800068354,35.56360000220593,199.89109999733046,70.0,0.8143975453934211,0.0,110,120,130,150,190,190,200,200,200,200,200
,Aggregated,8135,0,170,241.71799842663305,3.315199995995499,2169.973199997912,5490.067609096496,132.5024806355096,0.0,170,250,320,370,520,720,1100,1200,2100,2200,2200
