Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],938,0,880,996.7820561832225,30.268600006820634,8234.896199996001,17623.89552238806,14.92481781370513,0.0,880,1100,1200,1300,1600,1800,2900,5100,8200,8200,8200
GET,GET /traces,1011,0,260,341.40876508429295,5.028400002629496,5386.974100008956,20872.431256181997,16.086344146754676,0.0,260,360,450,490,690,1000,1200,1500,4400,5400,5400
POST,POST /ingest (auth),2483,0,480,584.9507403543813,4.473900000448339,6862.909400006174,70.0,39.50780664331539,0.0,480,610,690,760,1000,1300,2000,3600,6100,6900,6900
POST,POST /ingest (no key),469,0,92,138.28517803839142,5.055700006778352,1840.1976000022842,28.0,7.462408906852565,0.0,92,150,180,190,270,360,500,740,1800,1800,1800
POST,POST /ingest (seed),50,0,54,172.48920400073985,26.276200005668215,1079.1087000106927,70.0,0.7955659815407852,0.0,61,110,270,310,460,790,1100,1100,1100,1100,1100
,Aggregated,4951,0,440,566.7660527570296,4.473900000448339,8234.896199996001,7639.604928297314,78.77694349216856,0.0,440,610,750,850,1200,1400,1900,3500,6700,8200,8200
