Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],1372,0,450,580.1311994169106,3.505000000586733,2454.604600003222,18720.562682215743,22.59621450346023,0.0,450,830,910,960,1100,1200,1300,1800,2500,2500,2500
GET,GET /traces,1327,0,200,247.04115244896997,3.6026000016136095,1835.7194999989588,16645.401657874907,21.85508501901729,0.0,200,330,370,400,470,520,580,610,1800,1800,1800
POST,POST /ingest (auth),3346,0,320,440.14419073497345,3.230499991332181,2193.8838999922154,70.0,55.10709455435709,0.0,320,640,690,730,820,920,990,1000,2100,2200,2200
POST,POST /ingest (no key),663,0,100,140.62472217202503,2.1148999949218705,1750.3927999932785,28.0,10.919307737459281,0.0,100,180,210,230,280,330,370,390,1800,1800,1800
POST,POST /ingest (seed),50,0,100,148.96054200071376,50.71560000942554,427.13489999005105,70.0,0.8234772049365974,0.0,100,220,230,250,260,270,430,430,430,430,430
,Aggregated,6758,0,290,399.10747188504064,2.1148999949218705,2454.604600003222,7107.035217519976,111.30117901923049,0.0,290,470,650,710,870,980,1100,1200,2200,2500,2500
