Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],870,0,460,747.0674681608049,3.8951000024098903,4627.387600005022,16438.867816091955,13.832472977774625,0.0,460,720,1000,1200,1800,2600,3300,3800,4600,4600,4600
GET,GET /traces,852,0,230,323.4921816897248,3.72399999469053,3856.5884999989066,15810.426056338029,13.546283881682736,0.0,230,310,390,440,630,880,1400,2600,3900,3900,3900
POST,POST /ingest (auth),2179,0,370,511.1234466728575,44.4844000012381,4335.090900000068,70.0,34.64478002134587,0.0,370,490,650,760,1100,1500,2400,2900,4100,4300,4300
POST,POST /ingest (no key),420,1,160,223.00134500002883,8.952100004535168,3719.6261000062805,28.307142857142857,6.677745575477405,0.015899394227327154,160,240,290,330,430,550,780,1300,3700,3700,3700
POST,POST /ingest (seed),50,0,86,127.88556799961952,23.59910000814125,306.06319999787956,70.0,0.7949697113663577,0.0,87,220,230,230,230,240,310,310,310,310,310
,Aggregated,4371,1,310,489.4433469914654,3.72399999469053,4627.387600005022,6392.179592770533,69.496252167647,0.015899394227327154,310,450,570,690,1100,1600,2600,3400,4300,4600,4600
