Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],4902,0,150,181.1217190534592,3.6561000015353784,1535.9373999963282,97051.11709506324,65.09104891943932,0.0,150,240,280,310,390,470,560,670,1200,1500,1500
GET,GET /traces,5006,0,50,69.22021995604858,2.4619999967399053,993.8209999963874,6538.690571314422,66.47200956562898,0.0,50,72,89,100,150,180,210,260,410,990,990
POST,POST /ingest (auth),12757,0,76,92.64221587358404,4.748899998958223,1037.0806000064476,70.0,169.39341311001377,0.0,76,88,100,120,160,190,240,270,950,980,1000
POST,POST /ingest (no key),2429,0,64,63.04266311243564,3.748200004338287,220.61190000385977,28.0,32.25339816917954,0.0,64,71,75,78,87,100,140,150,190,220,220
POST,POST /ingest (seed),50,0,63,61.19906000007177,33.15160000056494,94.4143000015174,70.0,0.6639233875911803,0.0,64,71,72,73,86,89,94,94,94,94,94
,Aggregated,25144,0,73,102.30680947738891,2.4619999967399053,1535.9373999963282,20260.967348075086,333.8737931518528,0.0,73,89,120,140,200,280,390,470,970,1200,1500
