condition,repetition,requests,failures,requests_per_second,http_p95_ms,event_p50_ms,event_p95_ms,event_p99_ms
mixed 10 users,1,5320,0,112.36798743983411,100.0,46.999999998661224,78.00000000133878,93.9999999988504
mixed 25 users,1,10838,0,231.59130553212972,170.0,46.999999998661224,125.0,212.870000001058
mixed 50 users,1,22366,0,303.67945206672334,280.0,61.99999999807915,219.74999999729351,297.1499999986553
mixed 50 users,2,12412,0,165.00867103355142,540.0,78.00000000133878,656.800000002477,1563.619999994698
mixed 50 users,3,25144,0,333.8737931518528,280.0,93.99999999732245,250.74999999997107,327.9999999941356
ingest-only 50 users,1,30284,0,409.3052446242321,120.0,46.999999998661224,47.00000000593718,62.999999994717655
