Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],2404,0,58,178.03947874376726,5.53300000319723,2690.649099997245,44384.334026622295,31.95946222725247,0.0,58,100,170,240,490,750,1200,1300,2400,2700,2700
GET,GET /traces,2553,0,45,114.21349702306028,3.657499997643754,2755.9548999997787,5318.430473952213,33.94031075964041,0.0,45,67,98,140,260,450,810,1100,2200,2800,2800
POST,POST /ingest (auth),6216,0,84,154.104437741323,18.06389999546809,2712.2878000009223,70.0,82.6372783712984,0.0,84,98,130,160,370,510,870,1100,2300,2700,2700
POST,POST /ingest (no key),1189,0,79,151.10579789744307,13.524100002541672,2433.4382000015466,28.0,15.80690540274675,0.0,79,90,110,140,390,540,930,1100,2200,2400,2400
POST,POST /ingest (seed),50,0,64,74.81880600040313,21.17250000446802,145.23400000325637,70.0,0.6647142726134041,0.0,64,80,84,130,140,140,150,150,150,150,150
,Aggregated,12412,0,78,149.92852753786858,3.657499997643754,2755.9548999997787,9728.472768288753,165.00867103355142,0.0,78,94,130,160,380,540,950,1200,2300,2700,2800
