Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],4438,0,110,171.8152654799172,4.944899999827612,1622.817399998894,80541.76678684092,60.257954407230535,0.0,110,190,260,280,380,460,560,670,1500,1600,1600
GET,GET /traces,4363,0,62,74.11379005261381,3.6961000005248934,1289.392200000293,8175.053632821453,59.23962484874872,0.0,62,81,95,100,150,180,230,260,380,1300,1300
POST,POST /ingest (auth),11259,0,87,99.9944422329002,6.530000006023329,1336.9878999947105,70.0,152.87163331928988,0.0,87,110,120,130,160,180,240,280,1300,1300,1300
POST,POST /ingest (no key),2256,0,66,74.01917734925699,5.1778999986709096,1249.2001000064192,28.0,30.63135311913296,0.0,66,81,96,100,120,130,150,160,250,1200,1200
POST,POST /ingest (seed),50,0,97,117.98354200000176,61.25149999570567,190.64090000028955,70.0,0.6788863723212092,0.0,100,170,170,170,180,180,190,190,190,190,190
,Aggregated,22366,0,81,106.61711886343352,3.6961000005248934,1622.817399998894,17614.545202539568,303.67945206672334,0.0,81,110,120,140,190,280,390,470,1300,1500,1600
