Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /history/[id],2695,0,62,288.5432428200281,3.8034999997762498,4234.5437000003585,51439.98478664193,44.95057005764103,0.0,62,240,360,450,850,1300,1700,2100,3600,4200,4200
GET,GET /traces,2819,0,52,142.92154664773545,5.8184999998047715,3561.845499998526,42180.537069882936,47.01879665769576,0.0,52,120,160,190,400,570,740,840,3000,3600,3600
POST,POST /ingest (auth),6766,0,76,138.36302153415193,8.007500000530854,2289.6020999996836,70.0,112.85178367717968,0.0,76,100,140,170,290,470,660,790,1700,2300,2300
POST,POST /ingest (no key),1345,0,66,86.1308878066987,8.898399999452522,1189.6711999997933,28.0,22.43358691188393,0.0,66,73,80,88,140,200,350,490,1200,1200,1200
POST,POST /ingest (seed),50,0,55,54.577097999899706,16.436300000350457,86.13230000082694,70.0,0.8339623387317445,0.0,55,65,67,80,84,85,86,86,86,86,86
,Aggregated,13675,0,72,163.45586706398623,3.8034999997762498,4234.5437000003585,18870.38193784278,228.08869964313214,0.0,72,110,160,190,390,610,1000,1300,3100,3700,4200
